branin,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
701.9848735211857,6.0,12.0,9.0,7.0,15.0,7.0,11.0,12.0,4.0,0.0,4.0,14.0,3.0,7.0,1.0,9.0,15.0,13.0,6.0,3.0,13.0,6.0,5.0,1.0,3.0,10.0,1.0,10.0,12.0,3.0,14.0,7.0
577.6992232444858,13.0,4.0,9.0,7.0,15.0,7.0,15.0,13.0,4.0,0.0,4.0,7.0,14.0,7.0,4.0,9.0,15.0,13.0,6.0,2.0,13.0,6.0,5.0,10.0,2.0,10.0,7.0,9.0,5.0,3.0,5.0,7.0
729.3857774786036,6.0,4.0,7.0,1.0,0.0,7.0,15.0,12.0,4.0,0.0,9.0,3.0,14.0,7.0,8.0,9.0,15.0,13.0,6.0,9.0,15.0,6.0,5.0,10.0,8.0,10.0,4.0,14.0,5.0,3.0,5.0,3.0
964.447021308428,6.0,12.0,9.0,7.0,0.0,11.0,11.0,11.0,4.0,15.0,9.0,15.0,14.0,7.0,8.0,7.0,15.0,13.0,10.0,3.0,13.0,10.0,5.0,4.0,2.0,10.0,14.0,14.0,5.0,3.0,15.0,3.0
975.6718038944987,6.0,1.0,7.0,14.0,0.0,7.0,11.0,11.0,4.0,5.0,9.0,14.0,14.0,7.0,4.0,7.0,15.0,8.0,5.0,3.0,3.0,6.0,5.0,10.0,8.0,10.0,12.0,10.0,5.0,14.0,5.0,3.0
903.6420528255418,11.0,4.0,9.0,12.0,15.0,7.0,15.0,13.0,4.0,15.0,4.0,2.0,14.0,7.0,4.0,9.0,15.0,13.0,14.0,2.0,13.0,6.0,8.0,10.0,8.0,10.0,7.0,9.0,12.0,14.0,5.0,7.0
652.8603092286293,8.0,4.0,9.0,7.0,0.0,7.0,11.0,0.0,4.0,0.0,4.0,14.0,14.0,7.0,1.0,7.0,2.0,13.0,14.0,2.0,13.0,6.0,12.0,9.0,8.0,10.0,7.0,10.0,5.0,3.0,5.0,7.0
687.4842155579738,13.0,4.0,9.0,7.0,5.0,7.0,15.0,11.0,10.0,15.0,4.0,6.0,14.0,7.0,12.0,9.0,15.0,6.0,6.0,2.0,3.0,6.0,5.0,10.0,3.0,10.0,10.0,10.0,5.0,3.0,5.0,7.0
815.8566530772288,11.0,4.0,9.0,12.0,15.0,7.0,11.0,11.0,4.0,15.0,4.0,15.0,14.0,7.0,4.0,7.0,15.0,13.0,6.0,2.0,13.0,6.0,5.0,1.0,8.0,10.0,7.0,11.0,5.0,3.0,15.0,7.0
704.6704062935877,6.0,4.0,8.0,7.0,15.0,7.0,15.0,0.0,4.0,15.0,9.0,15.0,14.0,7.0,1.0,9.0,15.0,13.0,6.0,9.0,13.0,6.0,5.0,10.0,2.0,10.0,12.0,9.0,5.0,3.0,7.0,7.0
