Unnamed: 0,SMILES,Fluorescence_Oscillator_Strength
0,O=c1c2ccccc2n(-c2ccc(-c3cccc(-c4ccc(-c5cccc(-c6ccc(-n7c8ccccc8c(=O)c8ccccc87)cc6)c5F)s4)c3F)cc2)c2ccccc12,-0.021159982
1,CCOc1c(-c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)cc(Cl)cc1-c1cc(-c2cc(Cl)cc(-c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)c2OCC)c(OCc2ccccc2)cc1F,-0.961651786
2,Cc1cc(-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc2)cc(-c2cncc(-c3cc(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)cc(C)c3F)c2C(=O)O)c1F,-0.004108735
3,O=C(O)c1cc(-c2ccncc2-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c(-c2ccncc2-c2ccc(-n3c4ccccc4c4ccccc43)cc2)o1,-0.017019786
4,COc1ccc(-c2ccc(-n3c(-c4ccccc4)nc4ccccc43)cc2)c(-c2cc(-c3cc(OC)ccc3-c3ccc(-n4c(-c5ccccc5)nc5ccccc54)cc3)c3nccn3n2)c1,-0.041990616
5,COc1ccc2c3ccc(OC)cc3n(-c3ccc(-c4c(-c5cc(-c6sc7ccccc7c6-c6ccc(-n7c8cc(OC)ccc8c8ccc(OC)cc87)cc6)c(N)c(C(F)(F)F)c5)sc5ccccc45)cc3)c2c1,-0.000407062
6,CCCCCCCCCCCCc1cc(-c2ccccc2-c2ccccc2-c2ccc3c(ccn3C)c2)sc1-c1ccccc1-c1ccccc1-c1ccc2c(ccn2C)c1,-0.285011268
7,CCCCCCc1cc(-c2cccc(-c3cccc(-n4c5ccccc5c5ccccc54)c3)c2)c(CCCCCC)cc1-c1cccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)c1,-0.012878295
8,COc1cc(-c2cccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c2)c(OC)cc1-c1cccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c1,-1.312358431
9,O=C(O)c1c(-c2ccnc(-c3ccc(N4c5ccccc5Sc5ccc(C(F)(F)F)cc54)cc3)c2)sc(-c2ccnc(-c3ccc(N4c5ccccc5Sc5ccc(C(F)(F)F)cc54)cc3)c2)c1C(=O)O,-0.00634346
10,Cc1ccc2c(c1)c1cc(C)ccc1n2-c1ccc(-c2ccc(C)c(F)c2-c2cc3nc[nH]c3c(-c3c(-c4ccc(-n5c6ccc(C)cc6c6cc(C)ccc65)cc4)ccc(C)c3F)c2N)cc1,-0.001951979
11,CCCCCCCCCCOc1cc(-c2cccc(-c3ccc(-n4c5ccc(C)cc5c5cc(C)ccc54)cc3)c2F)c(OCCCCCCCCCC)cc1-c1cccc(-c2ccc(-n3c4ccc(C)cc4c4cc(C)ccc43)cc2)c1F,-0.620694694
12,COC(=O)c1ccccc1N(c1ccc(-c2cc(F)cc(-c3ccc(-c4cc(F)cc(-c5ccc(N(c6cccc(C(F)(F)F)c6)c6ccccc6C(=O)OC)cc5)c4)c(C)n3)c2)cc1)c1cccc(C(F)(F)F)c1,-0.068302401
13,Nc1c(-c2cccc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)c2)cc2nc[nH]c2c1-c1cccc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)c1,-0.071117992
14,CCCCc1cc(-c2cc(C(F)(F)F)ccc2-c2ccc(-n3c4ccccc4c(=O)c4ccccc43)cc2)sc1-c1cc(C(F)(F)F)ccc1-c1ccc(-n2c3ccccc3c(=O)c3ccccc32)cc1,-0.010923553
15,COc1ccc2c3ccccc3n(-c3ccc(/C=C/c4nc(/C=C/c5ccc(-n6c7ccccc7c7ccc(OC)cc76)cc5)c(N)nc4C)cc3)c2c1,-0.820893911
16,CC(C)(C)OC(=O)N(c1ccccc1)c1ccc(-c2ccc(/C=C/c3cnc(/C=C/c4ccc(-c5ccc(N(C(=O)OC(C)(C)C)c6ccccc6)cc5)cc4)s3)cc2)cc1,-2.828841562
17,O=c1[nH]cnc2[nH]c(-c3cc4cc(-c5ccc6c7ccccc7n(-c7ccc(-c8ccccc8)cc7)c6c5)ccc4o3)c(-c3cc4cc(-c5ccc6c7ccccc7n(-c7ccc(-c8ccccc8)cc7)c6c5)ccc4o3)c12,-0.248131327
18,COc1ccc2c(c1)c1cc(OC)ccc1n2-c1ccc(-c2ccc(/C=C/c3cc(/C=C/c4ccc(-c5ccc(-n6c7ccc(OC)cc7c7cc(OC)ccc76)cc5)cc4)c4[nH]c(=S)oc4c3)cc2)cc1,-0.467203751
19,CCCCCCCCCCOc1cc(-c2ccccc2-c2ccccc2-c2ccc3c4ccccc4n(-c4ccc(-c5ccccc5)cc4)c3c2)c(OCCCCCCCCCC)cc1-c1ccccc1-c1ccccc1-c1ccc2c3ccccc3n(-c3ccc(-c4ccccc4)cc3)c2c1,-0.087435211
20,Oc1cc(-c2ccc(-c3cccc(N(c4ccccc4)c4ccccc4)c3)cc2)c(O)cc1-c1ccc(-c2cccc(N(c3ccccc3)c3ccccc3)c2)cc1,-0.085464084
21,Cc1nc(N)c(-c2ccc(-c3ccc4c(c3)c3cc(-c5ccccc5)ccc3n4-c3ccccc3)nc2)nc1-c1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2ccccc2)nc1,-1.328079034
22,CCn1c2ccccc2c2cc(-c3cc(-c4cc(-c5cc(-c6ccc7c(c6)c6ccccc6n7CC)cc(C(F)(F)F)c5)c(F)nc4N)cc(C(F)(F)F)c3)ccc21,-0.073205059
23,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3cc(F)cc(-c4cc(N)cc(-c5cc(F)cc(-c6ccc(N(c7ccc(OC)cc7)c7ccc(OC)cc7)cc6)c5)c4OC)c3)cc2)cc1,-0.002619407
24,N#Cc1ncc(-c2cc3cc(-c4ccc(-n5ccnc5)cc4)ccc3o2)cc1-c1cc2cc(-c3ccc(-n4ccnc4)cc3)ccc2o1,-0.335929685
25,COc1ccc(-c2ccc(N(c3ccc(C)cc3)c3ccc(C)cc3)cc2)cc1-c1cc(C)c(-c2cc(-c3ccc(N(c4ccc(C)cc4)c4ccc(C)cc4)cc3)ccc2OC)cn1,-0.062220797
26,COC(=O)c1cc(-c2cc(OC)ccc2-c2ccc(-n3c(-c4ccccc4)nc4ccccc43)cc2)cnc1-c1cc(OC)ccc1-c1ccc(-n2c(-c3ccccc3)nc3ccccc32)cc1,-0.000569358
27,Cc1c(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)cccc1-c1cn([Si](C(C)C)(C(C)C)C(C)C)cc1-c1cccc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)c1C,-0.000145233
28,O=C(O)c1c(-c2cc(F)cc(-c3ccc(N(c4ccccc4)c4ccc(-c5ccccc5)cc4)cc3)c2)cncc1-c1cc(F)cc(-c2ccc(N(c3ccccc3)c3ccc(-c4ccccc4)cc3)cc2)c1,-0.009478134
29,Cc1cc(-c2ccc(-c3cc(-c4cccc(N(c5ccccc5)c5ccccc5)c4)ccc3C#N)cc2)c(C)cc1-c1ccc(-c2cc(-c3cccc(N(c4ccccc4)c4ccccc4)c3)ccc2C#N)cc1,-0.013304133
30,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cncc(-c4ccc(-c5cncc(-c6ccc(N(c7ccc(C)cc7)c7ccc(C)cc7)cc6)c5)nn4)c3)cc2)cc1,-0.007963526
31,c1cc(-c2cncc(-c3ccsc3-c3sccc3-c3cncc(-c4cccc(-n5c6ccccc6c6ccccc65)c4)c3)c2)cc(-n2c3ccccc3c3ccccc32)c1,-0.000540672
32,Fc1ccc(-c2cc3cc(-c4ccc5c(c4)c4cc(-c6ccccc6)ccc4n5-c4ccccc4)ccc3o2)cc1-c1cc2cc(-c3ccc4c(c3)c3cc(-c5ccccc5)ccc3n4-c3ccccc3)ccc2o1,-0.297720618
33,Cc1cc(-c2ccc3c(ccn3C)c2)ccc1-c1sc(-c2ccc(-c3ccc4c(ccn4C)c3)cc2C)c(C(=O)O)c1C(=O)O,-0.226028316
34,c1ccc(-c2ccc(N(c3ccccc3)c3ccc(-c4c(-c5cc(-c6sc7ccccc7c6-c6ccc(N(c7ccccc7)c7ccc(-c8ccccc8)cc7)cc6)cc(N6CCC7(CC6)OCCO7)c5)sc5ccccc45)cc3)cc2)cc1,-0.037649261
